Number of Nodes,Density,Execution Time (sec)
100,0.1,0.0003669261932373047
100,0.6,0.0025849342346191406
1000,0.1,0.06025075912475586
1000,0.6,0.5498178005218506
5000,0.1,3.070592164993286
5000,0.6,23.64085292816162
7500,0.1,8.325512886047363
7500,0.6,60.277015686035156
10000,0.1,16.476827383041382
10000,0.6,108.56902766227722
